Method,GUID,Leaky,Random,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
crypto.randomFill,Y,N,Y,N,N,65536,buffer,1759619.0399675074,2.5426142640394794e-8,5.683048303560444e-7,5.43747041974983e-9,0.9567876479851914,84,2.7742196019131784e-9,6.464887295697024e-16
crypto.randomFill,Y,N,Y,Y,N,65536,buffer,1827569.308464281,2.0432899781641447e-8,5.471748706703259e-7,4.422615157841284e-9,0.8082635725619643,82,2.2564363050210634e-9,4.1750339348660305e-16
/dev/random,Y,N,Y,Y,N,,hex,661.6912819476543,0.00028385240748048487,0.001511278790097629,0.00014116882007052315,9.34101775235022,18,0.00006690465406185932,8.057218923246723e-8
/dev/random,Y,N,Y,Y,Y,,hex,991.2484339592544,0.00003928535361707624,0.0010088288321483546,0.00003633420113937485,3.6016219978565878,7,0.000014848467976859359,1.5433390088187252e-9
/dev/random,Y,N,Y,Y,N,,buffer,647.7287614949327,0.0002429180628123042,0.0015438561006493505,0.0001077238344151849,6.977582584923292,22,0.000051790305007300426,5.900918524048257e-8
/dev/random,Y,N,Y,Y,Y,,buffer,1012.9462658475571,0.00003039537705791991,0.0009872191978152714,0.000031903180916005744,3.2316207977527065,6,0.000012408860721900327,9.238789464931239e-10
/dev/random,Y,N,Y,N,N,256,hex,1798.1621769096694,0.00008121937865507596,0.000556123364644787,0.00008524837596786133,15.329040530838348,6,0.000033157672488471926,6.5965874691166075e-9
/dev/random,Y,N,Y,Y,N,256,hex,1735.6954765804226,0.0001507854460162621,0.0005761379305833926,0.00015826536234739616,27.470047352573708,6,0.00006155790056297011,2.2736250730323096e-8
/dev/random,Y,N,Y,Y,Y,256,hex,2574.5268037140477,0.000017410739791671195,0.0003884208929413305,0.000014558055693585303,3.7480104593097265,8,0.00000615562608608258,3.031338600932827e-10
/dev/random,Y,N,Y,N,N,256,buffer,1782.7784162474768,0.000035621877284077736,0.0005609222048497051,0.000029785366941141772,5.310070930267869,8,0.000012594235493083201,1.2689181412418934e-9
/dev/random,Y,N,Y,Y,N,256,buffer,1824.9777073605887,0.000037571083518592856,0.0005479518987912846,0.00003943484801718257,7.19677185245111,6,0.000015338330617340554,1.4115863167610798e-9
/dev/random,Y,N,Y,Y,Y,256,buffer,2587.8638283673445,0.00002479975038584988,0.00038641909556380686,0.000022936769960346872,5.935723731996437,7,0.000009373424585348128,6.150276192004612e-10
/dev/random,Y,N,Y,N,N,4096,hex,28041.63187352119,0.000002542140351996383,0.00003566126267224369,0.0000019540585505678867,5.4794990534331065,9,8.473801173321278e-7,6.462477569248294e-12
/dev/random,Y,N,Y,Y,N,4096,hex,27686.121263848127,0.0000014679943182694894,0.000036119180092798914,0.0000015408161652403947,4.265922319614302,6,5.993061708441831e-7,2.1550073184715027e-12
